problem_size,id_random_seed,avg_best_num_individuals,avg_num_evaluations,crossover_type,fitness_function
10,0,34.0,320.0,1X,onemax
10,1,32.0,147.2,1X,onemax
10,2,24.0,160.0,1X,onemax
10,3,30.0,160.0,1X,onemax
10,4,24.0,128.0,1X,onemax
10,5,24.0,288.0,1X,onemax
10,6,30.0,192.0,1X,onemax
10,7,34.0,256.0,1X,onemax
10,8,28.0,128.0,1X,onemax
10,9,24.0,128.0,1X,onemax
20,0,80.0,768.0,1X,onemax
20,1,104.0,768.0,1X,onemax
20,2,136.0,1280.0,1X,onemax
20,3,68.0,896.0,1X,onemax
20,4,48.0,576.0,1X,onemax
20,5,64.0,544.0,1X,onemax
20,6,80.0,896.0,1X,onemax
20,7,64.0,563.2,1X,onemax
20,8,88.0,1024.0,1X,onemax
20,9,88.0,768.0,1X,onemax
40,0,352.0,6144.0,1X,onemax
40,1,208.0,3328.0,1X,onemax
40,2,320.0,6144.0,1X,onemax
40,3,192.0,3840.0,1X,onemax
40,4,272.0,7168.0,1X,onemax
40,5,272.0,6144.0,1X,onemax
40,6,224.0,3840.0,1X,onemax
40,7,352.0,6656.0,1X,onemax
40,8,272.0,5120.0,1X,onemax
40,9,320.0,6144.0,1X,onemax
80,0,960.0,21504.0,1X,onemax
80,1,768.0,21504.0,1X,onemax
80,2,960.0,21504.0,1X,onemax
80,3,768.0,20480.0,1X,onemax
80,4,640.0,22528.0,1X,onemax
80,5,1280.0,40960.0,1X,onemax
80,6,768.0,21504.0,1X,onemax
80,7,832.0,22528.0,1X,onemax
80,8,1280.0,43008.0,1X,onemax
80,9,768.0,22528.0,1X,onemax
160,0,4352.0,262144.0,1X,onemax
160,1,5120.0,245760.0,1X,onemax
160,2,4352.0,245760.0,1X,onemax
160,3,4096.0,135168.0,1X,onemax
160,4,3840.0,139264.0,1X,onemax
160,5,4352.0,245760.0,1X,onemax
160,6,6656.0,237568.0,1X,onemax
160,7,2816.0,126976.0,1X,onemax
160,8,2560.0,135168.0,1X,onemax
160,9,4352.0,245760.0,1X,onemax
10,0,22.0,160.0,UX,onemax
10,1,16.0,80.0,UX,onemax
10,2,22.0,128.0,UX,onemax
10,3,22.0,160.0,UX,onemax
10,4,16.0,80.0,UX,onemax
10,5,20.0,128.0,UX,onemax
10,6,24.0,160.0,UX,onemax
10,7,18.0,64.0,UX,onemax
10,8,20.0,160.0,UX,onemax
10,9,20.0,96.0,UX,onemax
20,0,32.0,252.8,UX,onemax
20,1,32.0,246.4,UX,onemax
20,2,36.0,448.0,UX,onemax
20,3,36.0,512.0,UX,onemax
20,4,34.0,512.0,UX,onemax
20,5,40.0,384.0,UX,onemax
20,6,44.0,256.0,UX,onemax
20,7,28.0,160.0,UX,onemax
20,8,48.0,448.0,UX,onemax
20,9,32.0,256.0,UX,onemax
40,0,52.0,704.0,UX,onemax
40,1,80.0,1280.0,UX,onemax
40,2,68.0,1408.0,UX,onemax
40,3,64.0,710.4,UX,onemax
40,4,60.0,832.0,UX,onemax
40,5,60.0,704.0,UX,onemax
40,6,68.0,1408.0,UX,onemax
40,7,72.0,1408.0,UX,onemax
40,8,88.0,1408.0,UX,onemax
40,9,88.0,1280.0,UX,onemax
80,0,112.0,2048.0,UX,onemax
80,1,128.0,2176.0,UX,onemax
80,2,128.0,2150.4,UX,onemax
80,3,136.0,3840.0,UX,onemax
80,4,120.0,2176.0,UX,onemax
80,5,112.0,2304.0,UX,onemax
80,6,112.0,1920.0,UX,onemax
80,7,120.0,2176.0,UX,onemax
80,8,96.0,2176.0,UX,onemax
80,9,144.0,3840.0,UX,onemax
160,0,208.0,6400.0,UX,onemax
160,1,192.0,6144.0,UX,onemax
160,2,176.0,6400.0,UX,onemax
160,3,176.0,6400.0,UX,onemax
160,4,272.0,12288.0,UX,onemax
160,5,208.0,6144.0,UX,onemax
160,6,208.0,6400.0,UX,onemax
160,7,176.0,6656.0,UX,onemax
160,8,208.0,6144.0,UX,onemax
160,9,128.0,3584.0,UX,onemax
10,0,72.0,384.0,1X,trap5
10,1,160.0,1024.0,1X,trap5
10,2,112.0,512.0,1X,trap5
10,3,104.0,256.0,1X,trap5
10,4,128.0,435.2,1X,trap5
10,5,208.0,512.0,1X,trap5
10,6,112.0,384.0,1X,trap5
10,7,88.0,512.0,1X,trap5
10,8,96.0,512.0,1X,trap5
10,9,144.0,512.0,1X,trap5
20,0,416.0,3584.0,1X,trap5
20,1,384.0,2560.0,1X,trap5
20,2,320.0,3584.0,1X,trap5
20,3,192.0,1536.0,1X,trap5
20,4,224.0,1536.0,1X,trap5
20,5,480.0,2560.0,1X,trap5
20,6,288.0,4096.0,1X,trap5
20,7,272.0,3584.0,1X,trap5
20,8,320.0,4608.0,1X,trap5
20,9,416.0,3584.0,1X,trap5
40,0,640.0,13312.0,1X,trap5
40,1,832.0,14336.0,1X,trap5
40,2,896.0,16384.0,1X,trap5
40,3,1088.0,24576.0,1X,trap5
40,4,896.0,12288.0,1X,trap5
40,5,1088.0,24576.0,1X,trap5
40,6,896.0,13312.0,1X,trap5
40,7,960.0,12288.0,1X,trap5
40,8,768.0,21504.0,1X,trap5
40,9,960.0,12288.0,1X,trap5
80,0,2816.0,90112.0,1X,trap5
80,1,3584.0,86016.0,1X,trap5
80,2,3072.0,81920.0,1X,trap5
80,3,3840.0,86016.0,1X,trap5
80,4,3072.0,86016.0,1X,trap5
80,5,3072.0,86016.0,1X,trap5
80,6,3328.0,73728.0,1X,trap5
80,7,3328.0,81920.0,1X,trap5
80,8,4096.0,88064.0,1X,trap5
80,9,3072.0,86016.0,1X,trap5
160,0,-1.0,-1.0,1X,trap5
160,1,-1.0,-1.0,1X,trap5
160,2,-1.0,-1.0,1X,trap5
160,3,-1.0,-1.0,1X,trap5
160,4,-1.0,-1.0,1X,trap5
160,5,-1.0,-1.0,1X,trap5
160,6,-1.0,-1.0,1X,trap5
160,7,-1.0,-1.0,1X,trap5
160,8,-1.0,-1.0,1X,trap5
160,9,-1.0,-1.0,1X,trap5
10,0,320.0,1024.0,UX,trap5
10,1,416.0,1024.0,UX,trap5
10,2,416.0,1024.0,UX,trap5
10,3,192.0,512.0,UX,trap5
10,4,384.0,1024.0,UX,trap5
10,5,352.0,1024.0,UX,trap5
10,6,640.0,2048.0,UX,trap5
10,7,352.0,2048.0,UX,trap5
10,8,480.0,2560.0,UX,trap5
10,9,384.0,1024.0,UX,trap5
20,0,3584.0,49152.0,UX,trap5
20,1,3072.0,49152.0,UX,trap5
20,2,4352.0,57344.0,UX,trap5
20,3,3584.0,36864.0,UX,trap5
20,4,5120.0,65536.0,UX,trap5
20,5,3840.0,36864.0,UX,trap5
20,6,3840.0,69632.0,UX,trap5
20,7,3840.0,53248.0,UX,trap5
20,8,3328.0,53248.0,UX,trap5
20,9,4352.0,98304.0,UX,trap5
40,0,-1.0,-1.0,UX,trap5
40,1,-1.0,-1.0,UX,trap5
40,2,-1.0,-1.0,UX,trap5
40,3,-1.0,-1.0,UX,trap5
40,4,-1.0,-1.0,UX,trap5
40,5,-1.0,-1.0,UX,trap5
40,6,-1.0,-1.0,UX,trap5
40,7,-1.0,-1.0,UX,trap5
40,8,-1.0,-1.0,UX,trap5
40,9,-1.0,-1.0,UX,trap5
80,0,-1.0,-1.0,UX,trap5
80,1,-1.0,-1.0,UX,trap5
80,2,-1.0,-1.0,UX,trap5
80,3,-1.0,-1.0,UX,trap5
80,4,-1.0,-1.0,UX,trap5
80,5,-1.0,-1.0,UX,trap5
80,6,-1.0,-1.0,UX,trap5
80,7,-1.0,-1.0,UX,trap5
80,8,-1.0,-1.0,UX,trap5
80,9,-1.0,-1.0,UX,trap5
160,0,-1.0,-1.0,UX,trap5
160,1,-1.0,-1.0,UX,trap5
160,2,-1.0,-1.0,UX,trap5
160,3,-1.0,-1.0,UX,trap5
160,4,-1.0,-1.0,UX,trap5
160,5,-1.0,-1.0,UX,trap5
160,6,-1.0,-1.0,UX,trap5
160,7,-1.0,-1.0,UX,trap5
160,8,-1.0,-1.0,UX,trap5
160,9,-1.0,-1.0,UX,trap5
