,problem_size,id_random_seed,avg_best_num_individuals,avg_num_evaluations
0,10,0,320.0,1024.0
1,10,1,416.0,1024.0
2,10,2,416.0,1024.0
3,10,3,192.0,512.0
4,10,4,384.0,1024.0
5,10,5,352.0,1024.0
6,10,6,640.0,2048.0
7,10,7,352.0,2048.0
8,10,8,480.0,2560.0
9,10,9,384.0,1024.0
10,20,0,3584.0,49152.0
11,20,1,3072.0,49152.0
12,20,2,4352.0,57344.0
13,20,3,3584.0,36864.0
14,20,4,5120.0,65536.0
15,20,5,3840.0,36864.0
16,20,6,3840.0,69632.0
17,20,7,3840.0,53248.0
18,20,8,3328.0,53248.0
19,20,9,4352.0,98304.0
20,40,0,-1.0,
21,40,1,-1.0,
22,40,2,-1.0,
23,40,3,-1.0,
24,40,4,-1.0,
25,40,5,-1.0,
26,40,6,-1.0,
27,40,7,-1.0,
28,40,8,-1.0,
29,40,9,-1.0,
30,80,0,-1.0,
31,80,1,-1.0,
32,80,2,-1.0,
33,80,3,-1.0,
34,80,4,-1.0,
35,80,5,-1.0,
36,80,6,-1.0,
37,80,7,-1.0,
38,80,8,-1.0,
39,80,9,-1.0,
40,160,0,-1.0,
41,160,1,-1.0,
42,160,2,-1.0,
43,160,3,-1.0,
44,160,4,-1.0,
45,160,5,-1.0,
46,160,6,-1.0,
47,160,7,-1.0,
48,160,8,-1.0,
49,160,9,-1.0,
