,problem_size,id_random_seed,avg_best_num_individuals,avg_num_evaluations,crossover_type,fitness_function
0,10,0,22.0,160.0,UX,onemax
1,10,1,16.0,80.0,UX,onemax
2,10,2,22.0,128.0,UX,onemax
3,10,3,22.0,160.0,UX,onemax
4,10,4,16.0,80.0,UX,onemax
5,10,5,20.0,128.0,UX,onemax
6,10,6,24.0,160.0,UX,onemax
7,10,7,18.0,64.0,UX,onemax
8,10,8,20.0,160.0,UX,onemax
9,10,9,20.0,96.0,UX,onemax
10,20,0,32.0,252.8,UX,onemax
11,20,1,32.0,246.4,UX,onemax
12,20,2,36.0,448.0,UX,onemax
13,20,3,36.0,512.0,UX,onemax
14,20,4,34.0,512.0,UX,onemax
15,20,5,40.0,384.0,UX,onemax
16,20,6,44.0,256.0,UX,onemax
17,20,7,28.0,160.0,UX,onemax
18,20,8,48.0,448.0,UX,onemax
19,20,9,32.0,256.0,UX,onemax
20,40,0,52.0,704.0,UX,onemax
21,40,1,80.0,1280.0,UX,onemax
22,40,2,68.0,1408.0,UX,onemax
23,40,3,64.0,710.4,UX,onemax
24,40,4,60.0,832.0,UX,onemax
25,40,5,60.0,704.0,UX,onemax
26,40,6,68.0,1408.0,UX,onemax
27,40,7,72.0,1408.0,UX,onemax
28,40,8,88.0,1408.0,UX,onemax
29,40,9,88.0,1280.0,UX,onemax
30,80,0,112.0,2048.0,UX,onemax
31,80,1,128.0,2176.0,UX,onemax
32,80,2,128.0,2150.4,UX,onemax
33,80,3,136.0,3840.0,UX,onemax
34,80,4,120.0,2176.0,UX,onemax
35,80,5,112.0,2304.0,UX,onemax
36,80,6,112.0,1920.0,UX,onemax
37,80,7,120.0,2176.0,UX,onemax
38,80,8,96.0,2176.0,UX,onemax
39,80,9,144.0,3840.0,UX,onemax
40,160,0,208.0,6400.0,UX,onemax
41,160,1,192.0,6144.0,UX,onemax
42,160,2,176.0,6400.0,UX,onemax
43,160,3,176.0,6400.0,UX,onemax
44,160,4,272.0,12288.0,UX,onemax
45,160,5,208.0,6144.0,UX,onemax
46,160,6,208.0,6400.0,UX,onemax
47,160,7,176.0,6656.0,UX,onemax
48,160,8,208.0,6144.0,UX,onemax
49,160,9,128.0,3584.0,UX,onemax
0,10,0,320.0,1024.0,UX,trap5
1,10,1,416.0,1024.0,UX,trap5
2,10,2,416.0,1024.0,UX,trap5
3,10,3,192.0,512.0,UX,trap5
4,10,4,384.0,1024.0,UX,trap5
5,10,5,352.0,1024.0,UX,trap5
6,10,6,640.0,2048.0,UX,trap5
7,10,7,352.0,2048.0,UX,trap5
8,10,8,480.0,2560.0,UX,trap5
9,10,9,384.0,1024.0,UX,trap5
10,20,0,3584.0,49152.0,UX,trap5
11,20,1,3072.0,49152.0,UX,trap5
12,20,2,4352.0,57344.0,UX,trap5
13,20,3,3584.0,36864.0,UX,trap5
14,20,4,5120.0,65536.0,UX,trap5
15,20,5,3840.0,36864.0,UX,trap5
16,20,6,3840.0,69632.0,UX,trap5
17,20,7,3840.0,53248.0,UX,trap5
18,20,8,3328.0,53248.0,UX,trap5
19,20,9,4352.0,98304.0,UX,trap5
20,40,0,-1.0,-1.0,UX,trap5
21,40,1,-1.0,-1.0,UX,trap5
22,40,2,-1.0,-1.0,UX,trap5
23,40,3,-1.0,-1.0,UX,trap5
24,40,4,-1.0,-1.0,UX,trap5
25,40,5,-1.0,-1.0,UX,trap5
26,40,6,-1.0,-1.0,UX,trap5
27,40,7,-1.0,-1.0,UX,trap5
28,40,8,-1.0,-1.0,UX,trap5
29,40,9,-1.0,-1.0,UX,trap5
30,80,0,-1.0,-1.0,UX,trap5
31,80,1,-1.0,-1.0,UX,trap5
32,80,2,-1.0,-1.0,UX,trap5
33,80,3,-1.0,-1.0,UX,trap5
34,80,4,-1.0,-1.0,UX,trap5
35,80,5,-1.0,-1.0,UX,trap5
36,80,6,-1.0,-1.0,UX,trap5
37,80,7,-1.0,-1.0,UX,trap5
38,80,8,-1.0,-1.0,UX,trap5
39,80,9,-1.0,-1.0,UX,trap5
40,160,0,-1.0,-1.0,UX,trap5
41,160,1,-1.0,-1.0,UX,trap5
42,160,2,-1.0,-1.0,UX,trap5
43,160,3,-1.0,-1.0,UX,trap5
44,160,4,-1.0,-1.0,UX,trap5
45,160,5,-1.0,-1.0,UX,trap5
46,160,6,-1.0,-1.0,UX,trap5
47,160,7,-1.0,-1.0,UX,trap5
48,160,8,-1.0,-1.0,UX,trap5
49,160,9,-1.0,-1.0,UX,trap5
